"deployed"	"individual"	"platform"	"terminated"	"technology"	"program"	"species"	"object"	"principalInvestigator"	"area"	"placename"	"created_by"	"updated_by"	"_id"	"_rev"
"2012-09-12T21:00:00Z"	1	113909	"2012-12-08T06:00:00Z"	"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Kapp Scollin"	"Eva Fuglei"	"Conrad Helgeland"	"107b6d74-1651-44c4-b9b6-69e0fc296044"	"2-0ac3e738fad95d5ca619f9988bd8cad0"
"2012-09-15T13:30:00Z"	2	113914		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Vårsolbukt"	"Eva Fuglei"	"Conrad Helgeland"	"4bd01034-fbf9-4865-9447-6e46bccb7d0d"	"2-544df6c98e6fed929d98531b33fbac17"
"2012-09-18T12:00:00Z"	3	113913	"2012-12-22T06:00:00Z"	"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Vårsolbukt"	"Eva Fuglei"	"Conrad Helgeland"	"fc321428-c100-472b-b789-ca291ecbd372"	"2-8a8a3c67cf1a608044bdf1bbe45b5a2d"
"2012-09-23T18:45:00Z"	4	113908	"2012-12-29T06:00:00Z"	"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Kapp Scollin"	"Eva Fuglei"	"Conrad Helgeland"	"ccf08cae-f066-403a-8cc2-e54193380a72"	"2-b57e46ebd9e4e1c2ac9b64f6b01e37a3"
"2013-08-22T06:00:00Z"	5	113909		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Berzeliusdalen"	"Eva Fuglei"	"Conrad Helgeland"	"378b9188-1d71-4634-b7b2-121bfa92eca7"	"2-94ae708ad78468fe06a0217d19b97489"
"2013-08-23T06:00:00Z"	6	113908		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Fridtjovhamna"	"Eva Fuglei"	"Conrad Helgeland"	"e313b450-b254-41a8-a23d-7b80f85547f8"	"2-61f4fe641a9fdaa0017add2b232c4f96"
"2013-09-15T06:00:00Z"	7	131426		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Midterhuken"	"Eva Fuglei"	"Conrad Helgeland"	"4542b1aa-ddb6-4cca-be76-85848b28ea16"	"3-a060a557af36ecf4f83729b09ec30c25"
"2013-09-16T06:00:00Z"	8	131428		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Midterhuken"	"Eva Fuglei"	"Conrad Helgeland"	"b3ed1dfa-bcb5-4435-bc83-aa0413970404"	"2-72b5ac4d162110a63c3ae889da9ac412"
"2013-09-20T06:00:00Z"	9	131424		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Midterhuken"	"Eva Fuglei"	"Conrad Helgeland"	"ff137d47-40ce-434f-9407-446f2b07e45d"	"2-a8cb61eac498b97473ac3ffa32e2a3df"
"2013-09-30T06:00:00Z"	10	113907		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"	"Svalbard"	"Midterhuken"	"Eva Fuglei"	"Conrad Helgeland"	"6c22977a-2581-473e-97ea-583c177108a3"	"2-049bb65360ca5e2c8770738c9c525de0"
		113910		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"			"Eva Fuglei"	"Conrad Helgeland"	"a670226c-8a78-42a2-9309-9ab987780ea6"	"2-a86e3ffbf3b0e5602e04b11dbc06809d"
		113911		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"			"Eva Fuglei"	"Conrad Helgeland"	"6552f86a-4808-4179-8448-37d8886ccc53"	"2-cf08b1ddb98f678cdcd77df43d52421b"
		113912		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"			"Eva Fuglei"	"Conrad Helgeland"	"c42ca62f-b291-44a6-a9b4-55ba2da903e1"	"2-81b5db56447417b496ed680a922ea59e"
		113915		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"			"Eva Fuglei"	"Conrad Helgeland"	"537b868b-d1b8-4591-8a11-23b26d8b4b6b"	"2-8644bc914e43c245a70774f2fddbc4a4"
		131425		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"			"Eva Fuglei"	"Conrad Helgeland"	"be99d57b-7f51-4136-8843-c857388f9b7a"	"2-1fead6062642e99820bdecc924e14901"
		131427		"argos"	11660	"Vulpes lagopus"	"Arctic fox"	"Eva Fuglei"			"Eva Fuglei"	"Conrad Helgeland"	"f1ceee8e-983b-4dae-9e42-76072218731b"	"2-270c14fa16499e23225094042c6fd250"
